,EVENTO,UF,MUNICÍPIO,SITE,ROTA,DATA CRIAÇÃO,GESTOR ATUAL,PREVISÃO SOBRESSALENTE,Ação,Prazo,Status,Fabricante,Modelo,Cod_Modelo,SS,Afetação
101,342517488,BA,SALVADOR,RDV,BA-CAPITAL,30/04/2025 12:21:33,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
102,342533124,BA,SALVADOR,RCA,BA-CAPITAL,30/04/2025 18:17:31,ICOMON_O&M-BA_SE (Terceiro),-,,,Icomon Atuando,,,,,
103,342562960,BA,CASA NOVA,CSN,BA-NORTE,01/05/2025 11:55:52,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
104,342562965,BA,JAGUARARI,JGI,BA-NORTE,01/05/2025 11:55:56,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
105,342563007,BA,PORTO SEGURO,BAI,BA-SUL,01/05/2025 11:56:48,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
106,342565940,BA,CAMAÇARI,JAU,BA-CAPITAL,01/05/2025 12:52:22,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
107,342586794,BA,XIQUE-XIQUE,XQX,BA-NORTE,01/05/2025 23:46:41,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
108,342596765,BA,SALVADOR,ATS,BA-CAPITAL,02/05/2025 05:14:44,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
109,342598535,BA,ALAGOINHAS,AVS,BA-NORTE,02/05/2025 06:04:11,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
110,342599128,BA,LAURO DE FREITAS,ITN,BA-CAPITAL,02/05/2025 06:26:01,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
111,342600637,BA,CORONEL JOÃO SÁ,CJS,BA-NORTE,02/05/2025 07:11:09,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
112,342600802,BA,CAMAÇARI,EDJ,BA-CAPITAL,02/05/2025 07:16:24,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
113,342619300,BA,AMÉRICA DOURADA,ADB,BA-NORTE,02/05/2025 15:05:13,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
114,342633550,BA,SALVADOR,SPN,BA-CAPITAL,02/05/2025 22:29:22,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
115,342633914,BA,MURITIBA,PDC,BA-SUL,02/05/2025 22:47:24,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
116,342634221,BA,SALVADOR,MPL,BA-CAPITAL,02/05/2025 23:07:12,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
117,342650135,BA,ILHÉUS,USC,BA-SUL,03/05/2025 09:48:02,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
118,342668739,BA,LAURO DE FREITAS,LFG,BA-CAPITAL,03/05/2025 19:31:49,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
119,342674416,BA,CAMAÇARI,POL,BA-CAPITAL,03/05/2025 23:37:03,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
120,342674875,BA,SALVADOR,RMA,BA-CAPITAL,04/05/2025 00:00:31,O&M ACESSO VIVO_N1_BA/SE,-,,,Vivo Avaliar,,,,,
121,342685166,BA,VERA CRUZ,CON,BA-SUL,04/05/2025 07:38:44,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
122,342698534,BA,CAMPO FORMOSO,CFO,BA-NORTE,04/05/2025 15:32:38,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
123,342760841,BA,GUARATINGA,GTA,BA-SUL,06/05/2025 00:33:02,O&M ACESSO VIVO_N1_BA/SE_Sobressalente,-,,,Sobressalente,,,,,
124,342782328,BA,FEIRA DE SANTANA,FSM,BA-NORTE,06/05/2025 11:42:07,O&M ACESSO VIVO_N1_BA/SE_Acesso,-,,,Acesso,,,,,
